Time [s],ContactID,Distance [m]
0,B,9.278924119115748
0.1,B,9.155768838411571
0.2,B,8.946456269278821
0.3,B,9.045542678728804
0.4,B,8.99846072734043
0.5,B,8.841911912782187
0.6,B,8.903258837724607
0.7,B,8.884755321930463
0.8,B,8.861963054218858
0.9,B,8.793636839089281
1.0,B,8.557177205818432
1.1,B,8.710332844911012
1.2,B,8.59327025033206
1.3,B,8.628660096889577
1.4,B,8.693097257368299
1.5,B,8.38572887190007
1.6,B,8.317611014035672
1.7,B,8.466538657973274
1.8,B,8.484201221828563
1.9,B,8.284778334857926
2.0,B,8.312476411242326
2.1,B,8.04780794390331
2.2,B,8.21034228678395
2.3,B,8.144246289472907
2.4,B,8.040158576330048
2.5,B,8.024873833728714
2.6,B,8.017686611387056
2.7,B,7.969155083960126
2.8,B,7.898450278639816
2.9,B,7.758946148879662
3.0,B,7.824927078453783
3.1,B,7.82338917386098
3.2,B,7.7765552323381835
3.3,B,7.734651266024138
3.4,B,7.5504554672137285
3.5,B,7.498725989105999
3.6,B,7.705976101686339
3.7,B,7.591196734387838
3.8,B,7.611731814972162
3.9,B,7.40252041303116
4.0,B,7.526536388770562
4.1,B,7.505374323069293
4.2,B,7.39210095053473
4.3,B,7.405537647885689
4.4,B,7.366074917206352
4.5,B,7.286615940252919
4.6,B,7.340072081643201
4.7,B,7.223013829324976
4.8,B,7.268615626871501
4.9,B,7.2126447463988725
5.0,B,7.323208016205128
5.1,B,7.077196034266531
5.2,B,7.10453439128404
5.3,B,7.128190309780464
5.4,B,7.239577505880067
5.5,B,7.09037089940708
5.6,B,7.032247829706182
5.7,B,6.998240067533599
5.8,B,6.855022320652213
5.9,B,6.967415326990969
6.0,B,6.870633947766585
6.1,B,6.80468031129895
6.2,B,7.069379200797896
6.3,B,6.895879227086134
6.4,B,6.807225368942644
6.5,B,6.864513246108424
6.6,B,6.828563106493681
6.7,B,6.720573352330652
6.8,B,6.663562466031776
6.9,B,6.653868790611227
7.0,B,6.695629412658717
7.1,B,6.629714534103756
7.2,B,6.765066515114778
7.3,B,6.619909482131862
7.4,B,6.622039032823062
7.5,B,6.653062695272915
7.6,B,6.626296014686701
7.7,B,6.5439439870829705
7.8,B,6.498096446093826
7.9,B,6.56557111001728
8.0,B,6.575436301157091
8.1,B,6.455426347274969
8.2,B,6.534086660705328
8.3,B,6.486251462837593
8.4,B,6.608840222195444
8.5,B,6.60070716137832
8.6,B,6.487230124706572
8.7,B,6.487523023538158
8.8,B,6.458607765173469
8.9,B,6.466193405893069
9.0,B,6.488682198173911
9.1,B,6.501070717094542
